Model,total,Link
LLaVA1.5,24.53,https://github.com/haotian-liu/LLaVA
MiniGPT-4,23.7,https://github.com/Vision-CAIR/MiniGPT-4
mPLUG-Owl,23.28,https://github.com/X-PLUG/mPLUG-Owl
LLaMA-Adapter-v2,23.36,https://github.com/ml-lab/LLaMA-Adapter-2
InstructBLIP,23.87,https://github.com/salesforce/LAVIS
Otter,23.28,https://github.com/Luodian/Otter
LAMM1.0,21.93,https://github.com/OpenLAMM/LAMM
LAMM1.5,22.43,https://github.com/OpenLAMM/LAMM
Kosmos-2,22.18,https://github.com/microsoft/unilm/tree/master/kosmos-2
Shikra,21.68,https://github.com/shikras/shikra
Qwen-VL,25.79,https://github.com/QwenLM/Qwen-VL
InternLM-XComposer2,24.71,https://github.com/InternLM/InternLM-XComposer
