Model,total,Link
LLaVA1.5,14.37,https://github.com/haotian-liu/LLaVA
MiniGPT-4,23.66,https://github.com/Vision-CAIR/MiniGPT-4
mPLUG-Owl,5.07,https://github.com/X-PLUG/mPLUG-Owl
LLaMA-Adapter-v2,6.78,https://github.com/ml-lab/LLaMA-Adapter-2
InstructBLIP,9.3,https://github.com/salesforce/LAVIS
Otter,4.23,https://github.com/Luodian/Otter
LAMM1.0,18.31,https://github.com/OpenLAMM/LAMM
LAMM1.5,12.11,https://github.com/OpenLAMM/LAMM
Kosmos-2,3.38,https://github.com/microsoft/unilm/tree/master/kosmos-2
Shikra,9.58,https://github.com/shikras/shikra
Qwen-VL,23.66,https://github.com/QwenLM/Qwen-VL
InternLM-XComposer2,22.54,https://github.com/InternLM/InternLM-XComposer
RLHF-V,10.96,https://github.com/RLHF-V/RLHF-V
LLaVA-RLHF,17.46,https://github.com/llava-rlhf/LLaVA-RLHF
GPT-4V,92.4,https://openai.com/contributions/gpt-4v
Gemini,38.03,https://deepmind.google/technologies/gemini/#introduction
