Model,total,Link
LLaVA1.5,24.09,https://github.com/haotian-liu/LLaVA
MiniGPT-4,26.82,https://github.com/Vision-CAIR/MiniGPT-4
mPLUG-Owl,27.04,https://github.com/X-PLUG/mPLUG-Owl
LLaMA-Adapter-v2,29.7,https://github.com/ml-lab/LLaMA-Adapter-2
InstructBLIP,27.18,https://github.com/salesforce/LAVIS
Otter,25.24,https://github.com/Luodian/Otter
LAMM1.0,32.73,https://github.com/OpenLAMM/LAMM
LAMM1.5,47.57,https://github.com/OpenLAMM/LAMM
Kosmos-2,54.81,https://github.com/microsoft/unilm/tree/master/kosmos-2
Shikra,48.67,https://github.com/shikras/shikra
Qwen-VL,34.49,https://github.com/QwenLM/Qwen-VL
InternLM-XComposer2,64.06,https://github.com/InternLM/InternLM-XComposer
